Index,Score
2,"[1963.741455078125, 1893.210205078125, 1971.5565185546875, 1969.7305908203125, 1971.5484619140625, 1967.697265625, 1969.43408203125, 1962.158203125, 1969.5889892578125, 1969.417724609375, 1971.3385009765625, 1937.1484375]"
4,"[1947.806884765625, 1948.6014404296875, 1971.516357421875, 1938.3026123046875, 1971.5604248046875, 1969.596923828125, 1969.417724609375, 1916.2830810546875, 1971.527587890625, 1969.416748046875, 1916.0413818359375, 1971.037841796875]"
5,"[1895.393798828125, 1951.931640625, 1971.5604248046875, 1948.765380859375, 1971.5460205078125, 1969.626220703125, 1969.4415283203125, 1971.58154296875, 1969.59814453125, 1906.0753173828125, 1971.3448486328125, 1948.04931640625]"
6,"[1950.6815185546875, 1971.248779296875, 1971.539794921875, 1962.2872314453125, 1940.060546875, 1969.6826171875, 1969.4869384765625, 1969.5576171875, 1971.5220947265625, 1969.4793701171875, 1971.32568359375, 1967.7490234375]"
7,"[1947.8072509765625, 1968.0234375, 1971.423828125, 1950.6204833984375, 1935.2059326171875, 1961.7061767578125, 1969.7022705078125, 1969.501220703125, 1948.8116455078125, 1969.4130859375, 1916.04736328125, 1915.7510986328125]"
8,"[1950.6163330078125, 1931.8797607421875, 1971.396728515625, 1971.6602783203125, 1971.5286865234375, 1960.686279296875, 1969.4215087890625, 1956.311767578125, 1969.9468994140625, 1969.4002685546875, 1971.31494140625, 1956.300048828125]"
9,"[1947.7178955078125, 1965.90478515625, 1971.395263671875, 1916.3887939453125, 1969.5902099609375, 1969.5997314453125, 1969.4215087890625, 1969.47900390625, 1971.499267578125, 1962.0037841796875, 1960.8917236328125, 1971.02685546875]"
10,"[1932.08935546875, 1931.7919921875, 1971.4271240234375, 1948.8072509765625, 1969.9736328125, 1971.4228515625, 1969.448974609375, 1953.18994140625, 1971.5340576171875, 1969.4200439453125, 1960.9423828125, 1947.992431640625]"
11,"[1964.1219482421875, 1960.611572265625, 1971.21337890625, 1971.364990234375, 1971.698486328125, 1948.20458984375, 1969.4473876953125, 1969.4122314453125, 1971.546875, 1969.4298095703125, 1961.384521484375, 1933.25732421875]"
12,"[1970.3616943359375, 1965.8162841796875, 1969.114013671875, 1971.641357421875, 1971.6378173828125, 1953.1832275390625, 1969.41796875, 1969.4825439453125, 1971.5008544921875, 1969.384765625, 1971.2958984375, 1971.01220703125]"
13,"[1970.0689697265625, 1960.61279296875, 1971.4337158203125, 1893.525390625, 1971.7012939453125, 1971.4449462890625, 1969.4581298828125, 1969.7459716796875, 1971.54443359375, 1969.424072265625, 1970.868896484375, 1910.4556884765625]"
14,"[1970.4981689453125, 1948.6053466796875, 1969.16455078125, 1948.8431396484375, 1971.6795654296875, 1971.6748046875, 1969.6732177734375, 1969.7965087890625, 1969.6138916015625, 1969.7308349609375, 1971.3616943359375, 1915.612060546875]"
15,"[1970.4342041015625, 1971.1182861328125, 1969.134521484375, 1883.550537109375, 1971.53759765625, 1971.55517578125, 1969.5255126953125, 1967.603271484375, 1971.5126953125, 1969.52490234375, 1971.35009765625, 1955.2447509765625]"
17,"[1970.3604736328125, 1951.85302734375, 1969.145751953125, 1971.57958984375, 1961.078125, 1916.300048828125, 1971.345947265625, 1969.510986328125, 1969.618408203125, 1955.4344482421875, 1901.596923828125, 1915.61328125]"
18,"[1970.795654296875, 1958.28515625, 1952.68115234375, 1971.2620849609375, 1971.2681884765625, 1971.28125, 1958.2120361328125, 1971.4398193359375, 1970.7354736328125, 1955.447509765625, 1956.848876953125, 1970.8619384765625]"
22,"[1915.9149169921875, 1969.073486328125, 1969.119140625, 1971.2783203125, 1971.560546875, 1969.4888916015625, 1969.424072265625, 1969.4869384765625, 1931.03759765625, 1969.927490234375, 1971.32470703125, 1970.8515625]"
23,"[1970.52001953125, 1955.003173828125, 1937.9920654296875, 1971.59033203125, 1971.3233642578125, 1971.3507080078125, 1969.439697265625, 1971.332275390625, 1931.11962890625, 1969.4033203125, 1971.244873046875, 1970.850341796875]"
24,"[1970.6080322265625, 1951.9276123046875, 1970.6796875, 1971.6102294921875, 1962.4158935546875, 1916.322265625, 1969.4647216796875, 1971.5841064453125, 1931.0867919921875, 1969.424072265625, 1971.2572021484375, 1970.874267578125]"
26,"[1970.4072265625, 1971.1072998046875, 1969.1153564453125, 1969.70556640625, 1931.049072265625, 1969.5421142578125, 1969.4207763671875, 1962.1124267578125, 1971.522216796875, 1969.3951416015625, 1971.3138427734375, 1970.8375244140625]"
27,"[1970.4278564453125, 1971.1226806640625, 1961.15185546875, 1971.361083984375, 1971.5557861328125, 1969.609375, 1969.4256591796875, 1967.6185302734375, 1969.58349609375, 1969.39892578125, 1955.667236328125, 1970.83935546875]"
28,"[1857.845947265625, 1915.8568115234375, 1893.5521240234375, 1971.621337890625, 1971.5877685546875, 1971.46435546875, 1914.218994140625, 1916.431396484375, 1906.035400390625, 1914.2025146484375, 1970.8427734375, 1970.3885498046875]"
31,"[1959.5474853515625, 1971.2125244140625, 1971.81640625, 1970.1295166015625, 1968.041015625, 1971.8096923828125, 1969.48291015625, 1971.5142822265625, 1971.308837890625, 1956.015625, 1968.875732421875, 1970.9490966796875]"
32,"[1971.023193359375, 1915.9700927734375, 1971.597900390625, 1916.3922119140625, 1916.45751953125, 1916.28271484375, 1971.39990234375, 1970.0887451171875, 1961.3865966796875, 1967.2696533203125, 1971.373291015625, 1970.5179443359375]"
33,"[1902.395751953125, 1916.9742431640625, 1912.1959228515625, 1971.46044921875, 1971.8056640625, 1914.4881591796875, 1916.8988037109375, 1914.3836669921875, 1971.7406005859375, 1937.878173828125, 1916.8087158203125, 1970.675048828125]"
34,"[1948.0921630859375, 1972.1048583984375, 1972.183837890625, 1968.000244140625, 1948.7557373046875, 1956.6495361328125, 1956.551025390625, 1971.8568115234375, 1969.542724609375, 1957.5833740234375, 1913.8475341796875, 1971.275390625]"
